品牌ID,行业信息,官译_品牌名,你的翻译_品牌名
Pteropus,"公司: Office_TelecomCompany | 行业: Input1:Electronics, Input2:Software, Output:Telecom",Pteropus,迅蝠通訊
RawrunBikes,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Rawrun Bikes,狂奔單車行
RoadGarbage,"公司: Commercial_VehicleStore | 行业: Input1:Vehicles, Output:Vehicles, Type:Service",RoadGarbage,破爛王二手車行
RustBucket,"公司: Industrial_WarehouseMetals; Industrial_MetalSmelter | 行业: Output:Metals; Input1:Ore, Output:Metals",Rust Bucket,精誠冶金
SaveMoney,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Save Money,惠省空間
SawEd,"公司: Industrial_WarehouseTimber; Industrial_SawMill | 行业: Output:Timber; Input1:Wood, Output:Timber",SawEd,索德木業
ScandicBaron,"公司: Industrial_WarehouseElectronics; Industrial_WarehousePlastics; Industrial_ElectronicsFactory; Industrial_PlasticsFactory; Commercial_ElectronicsStore; Commercial_PlasticsStore | 行业: Output:Electronics; Output:Plastics; Input1:Minerals, Input2:Plastics, Output:Electronics; Input1:Petrochemicals, Input2:Chemicals, Output:Plastics; Input1:Electronics, Output:Electronics, Type:Service; Input1:Plastics, Output:Plastics, Type:Service",Scandic Baron,斯堪男爵實業
Shinies,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Shinies,璀璨坊
ShopLate,"公司: Industrial_WarehouseConvenienceFood; Industrial_WarehouseFood; Commercial_FoodStore; Commercial_ConvenienceFoodStore | 行业: Output:ConvenienceFood; Output:Food; Input1:Food, Output:Food, Type:Service; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",ShopLate,夜貓超市
ShortMarket,"公司: Industrial_WarehouseConvenienceFood; Industrial_WarehouseFood; Commercial_FoodStore; Commercial_ConvenienceFoodStore | 行业: Output:ConvenienceFood; Output:Food; Input1:Food, Output:Food, Type:Service; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",ShortMarket,速購街市
SilentSaulsRealEstate,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Silent Saul's Real Estate,幽靜地產
SingTapeRecords,"公司: Office_MediaCompany | 行业: Input1:Software, Output:Media",SingTape Records,吟詠唱片
SirCutAlot,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Sir Cut Alot,剪裁大師洋服號
SixtySum,"公司: Industrial_WarehouseConvenienceFood; Industrial_WarehouseFood; Industrial_WarehouseFish; Industrial_ConvenienceFoodFromFish; Commercial_FoodStore; Commercial_ConvenienceFoodStore | 行业: Output:ConvenienceFood; Output:Food; Output:Fish; Input1:Fish, Output:ConvenienceFood; Input1:Food, Output:Food, Type:Service; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",SixtySum,六十匯食舖
SleePeas,"公司: Commercial_Hotel | 行业: Input1:Food, Output:Lodging, Type:Service",Slee Peas,酣眠旅舍
Smeltingmore,"公司: Industrial_WarehouseMetals; Industrial_MetalSmelter | 行业: Output:Metals; Input1:Ore, Output:Metals",Smeltingmore,精誠冶煉
SmeltNBlast,"公司: Industrial_WarehouseMetals; Industrial_MetalSmelter | 行业: Output:Metals; Input1:Ore, Output:Metals",Smelt 'n Blast,爆熔金屬
SnafuInsurance,"公司: Office_Bank | 行业: Input1:Software, Output:Financial",Snafu Insurance,避險保險行
SneakyRidge,"公司: Industrial_TextileFromLivestockFactory; Commercial_FashionStore | 行业: Input1:Livestock, Output:Textiles; Input1:Textiles, Output:Textiles, Type:Service",Sneaky Ridge,隱峰服飾
SoftEnds,"公司: Industrial_WarehousePaper; Industrial_WarehouseWood; Industrial_ForestryExtractor; Industrial_PaperMill | 行业: Output:Paper; Output:Wood; Input1:Timber, Output:Paper",Soft Ends,柔潔紙業
SomethingAndAll,"公司: Industrial_WarehouseConvenienceFood; Industrial_WarehouseFood; Commercial_FoodStore; Commercial_ConvenienceFoodStore | 行业: Output:ConvenienceFood; Output:Food; Input1:Food, Output:Food, Type:Service; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",Something & All,乜都有食舖
Spasm,"公司: Industrial_WarehouseElectronics; Industrial_ElectronicsFactory; Commercial_ElectronicsStore | 行业: Output:Electronics; Input1:Minerals, Input2:Plastics, Output:Electronics; Input1:Electronics, Output:Electronics, Type:Service",Spasm,脈動電子
SpdS,"公司: Commercial_FoodStore | 行业: Input1:Food, Output:Food, Type:Service",SpdS,速購生鮮
Speltware,"公司: Office_SoftwareCompany | 行业: Input1:Electronics, Output:Software",Speltware,斯派特軟件
SpendelzRides,"公司: Industrial_WarehouseVehicles; Commercial_VehicleStore | 行业: Output:Vehicles; Input1:Vehicles, Output:Vehicles, Type:Service",Spendelz Rides,馳騁租車
SpinningSpool,"公司: Industrial_WarehouseCotton; Industrial_CottonExtractor; Industrial_TextileFromCottonFactory | 行业: Output:Cotton; Input1:Cotton, Output:Textiles",Spinning Spool,錦繡紗線
SpinOffBakeries,"prefix; Commercial_ConvenienceFoodStore | 行业: Input1:Grain, Output:ConvenienceFood; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",Spin-Off Bakeries,溢香餅舖
SquarePackages,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Square Packages,正方優選
StadelmannAndBardolf,"公司: Office_Bank | 行业: Input1:Software, Output:Financial",Stadelmann & Bardolf,斯巴金融
StArmandsGoblet,"公司: Industrial_WarehouseBeverages; Commercial_Bar; Commercial_LiquorStore | 行业: Output:Beverages; Input1:Beverages, Output:Entertainment, Type:Service; Input1:Beverages, Output:Beverages, Type:Service",St. Armand's Goblet,聖曼酒爵酒吧
StChirpsMortuary,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",St. Chirps Mortuary,寧靜安魂堂
SteelSaurus,"公司: Industrial_WarehouseSteel; Industrial_SteelPlant | 行业: Output:Steel; Input1:Metals, Input2:Coal, Output:Steel",SteelSaurus,鋼鐵霸龍鋼廠
StefansStump,"公司: Industrial_SawMill | 行业: Input1:Wood, Output:Timber",Stefan's Stump,樁基木業
StrongarmMixing,"公司: Industrial_WarehouseConcrete; Industrial_ConcreteFactory | 行业: Output:Concrete; Input1:Stone, Output:Concrete",Strongarm Mixing,鐵臂混凝土
SugarSpike,"公司: Industrial_WarehouseBeverages; Industrial_BeverageFromVegetablesFactory | 行业: Output:Beverages; Input1:Vegetables, Output:Beverages",Sugar Spike,糖峰飲料
SunAsana,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Sun Asana,旭日康養
Szoftver,"公司: Office_SoftwareCompany | 行业: Input1:Electronics, Output:Software",Szoftver,索夫特科技
TattooStudio,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Tattoo Studio,繪皮紋身坊
TeakStoolCo,"公司: Industrial_WarehouseFurniture; Industrial_FurnitureFactory; Commercial_FurnitureStore | 行业: Output:Furniture; Input1:Timber, Output:Furniture; Input1:Furniture, Output:Furniture, Type:Service",Teak Stool Co.,天科傢俬
TechOMat,"公司: Office_SoftwareCompany | 行业: Input1:Electronics, Output:Software",Tech-o-Mat,泰科軟件
TekkVinyl,"公司: Industrial_WarehousePlastics; Industrial_PlasticsFactory | 行业: Output:Plastics; Input1:Petrochemicals, Input2:Chemicals, Output:Plastics",TekkVinyl,泰克塑膠
Texstailors,"公司: Industrial_TextileFromCottonFactory; Industrial_TextileFromPetrochemicalsFactory; Commercial_FashionStore | 行业: Input1:Cotton, Output:Textiles; Input1:Petrochemicals, Output:Textiles; Input1:Textiles, Output:Textiles, Type:Service",Texs Tailors,泰克斯成衣
THELawAndAccounting,"公司: Office_Bank | 行业: Input1:Software, Output:Financial",THE Law & Accounting,宏大會計師樓
ThickDigital,"公司: Office_SoftwareCompany; Commercial_ElectronicsStore | 行业: Input1:Electronics, Output:Software; Input1:Electronics, Output:Electronics, Type:Service",Thick Digital,厚實數碼
Thoseshows,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Those shows,眾匯演出
TinyToys,"公司: Industrial_WarehouseElectronics; Industrial_WarehousePlastics; Commercial_RecreactionStore; Industrial_ElectronicsFactory; Industrial_PlasticsFactory; Commercial_PlasticsStore | 行业: Output:Electronics; Output:Plastics; Output:Recreation, Type:Service; Input1:Minerals, Input2:Plastics, Output:Electronics; Input1:Petrochemicals, Input2:Chemicals, Output:Plastics; Input1:Plastics, Output:Plastics, Type:Service",Tiny Toys,微趣童玩
TreasureTroveComics,"公司: Commercial_BookStore | 行业: Input1:Paper, Output:Paper, Type:Service",Treasure Trove Comics,琳琅漫屋
Trikoosana,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Trikoosana,翠姿樂園
TurttleShell,"公司: Industrial_WarehouseTextiles; Industrial_TextileFromPetrochemicalsFactory; Commercial_FashionStore | 行业: Output:Textiles; Input1:Petrochemicals, Output:Textiles; Input1:Textiles, Output:Textiles, Type:Service",Turttle Shell,龜甲服飾
VelvetDuds,"公司: Industrial_TextileFromCottonFactory | 行业: Input1:Cotton, Output:Textiles",Velvet Duds,華絨成衣
Waffords,"公司: Industrial_TextileFromPetrochemicalsFactory | 行业: Input1:Petrochemicals, Output:Textiles",Waffords,華福絲織
Wingbacks,"公司: Industrial_WarehouseElectronics; Commercial_ElectronicsStore | 行业: Output:Electronics; Input1:Electronics, Output:Electronics, Type:Service",Wingbacks,盈眾數碼
Wolmsburys,"公司: Industrial_WarehouseGrain; Industrial_WarehouseBeverages; Industrial_WarehouseFood; Industrial_GrainExtractor; Industrial_BeverageFromGrainFactory; Industrial_ConvenienceFoodFromGrainFactory | 行业: Output:Grain; Output:Beverages; Output:Food; Input1:Grain, Output:Beverages; Input1:Grain, Output:ConvenienceFood",Wolmsbury's,沃姆五穀行
WovenWool,"公司: Industrial_WarehouseTextiles; Commercial_RecreactionStore; Industrial_TextileFromLivestockFactory; Commercial_FashionStore | 行业: Output:Textiles; Output:Recreation, Type:Service; Input1:Livestock, Output:Textiles; Input1:Textiles, Output:Textiles, Type:Service",Woven Wool,絨織工坊
Wrebomm,"公司: Industrial_PlasticsFactory; Commercial_PlasticsStore | 行业: Input1:Petrochemicals, Input2:Chemicals, Output:Plastics; Input1:Plastics, Output:Plastics, Type:Service",Wrebomm,瑞博塑膠
Wroommel,"公司: Industrial_VehicleFactory; Commercial_VehicleStore | 行业: Input1:Metals, Input2:Plastics, Output:Vehicles; Input1:Vehicles, Output:Vehicles, Type:Service",Wroommel,悅騁車行
Yaxu,"公司: Industrial_WarehouseBeverages; Commercial_Bar; Industrial_BeverageFromGrainFactory; Industrial_BeverageFromVegetablesFactory; Commercial_LiquorStore | 行业: Output:Beverages; Input1:Beverages, Output:Entertainment, Type:Service; Input1:Grain, Output:Beverages; Input1:Vegetables, Output:Beverages; Input1:Beverages, Output:Beverages, Type:Service",Yaxu,雅旭名酒行
