官译_巷名,官译_公路名,官译_街名,你的翻译_巷名,你的翻译_公路名,你的翻译_街名
,,,環迴西巷,環迴西高速,環迴西街
,,,甘肅巷,甘肅高速,甘肅街
,,,生物科技巷,生物科技高速,生物科技街
,,,界限巷,界限高速,界限街
,,,畢打巷,畢打高速,畢打街
,,,畢斯巷,畢斯高速,畢斯街
,,,畫眉巷,畫眉高速,畫眉街
,,,登巴巷,登巴高速,登巴街
,,,登打士巷,登打士高速,登打士街
,,,白加巷,白加高速,白加街
,,,白加士巷,白加士高速,白加士街
,,,白布巷,白布高速,白布街
,,,白建時巷,白建時高速,白建時街
,,,白楊巷,白楊高速,白楊街
,,,白沙巷,白沙高速,白沙街
,,,白蘭軒巷,白蘭軒高速,白蘭軒街
,,,百德新巷,百德新高速,百德新街
,,,皇后巷,皇后高速,皇后街
,,,皇珠巷,皇珠高速,皇珠街
,,,皇龍巷,皇龍高速,皇龍街
,,,盧吉巷,盧吉高速,盧吉街
,,,盧押巷,盧押高速,盧押街
,,,眾坊巷,眾坊高速,眾坊街
,,,眾安巷,眾安高速,眾安街
,,,睦誠巷,睦誠高速,睦誠街
,,,石壁水塘巷,石壁水塘高速,石壁水塘街
,,,石崗機場巷,石崗機場高速,石崗機場街
,,,石水渠巷,石水渠高速,石水渠街
,,,石竹巷,石竹高速,石竹街
,,,石龍巷,石龍高速,石龍街
,,,砵典乍巷,砵典乍高速,砵典乍街
,,,砵蘭巷,砵蘭高速,砵蘭街
,,,碧仙桃巷,碧仙桃高速,碧仙桃街
,,,碧荔巷,碧荔高速,碧荔街
,,,祈禮士巷,祈禮士高速,祈禮士街
,,,福州巷,福州高速,福州街
,,,福建巷,福建高速,福建街
,,,禧利巷,禧利高速,禧利街
,,,禧福巷,禧福高速,禧福街
,,,禮賢巷,禮賢高速,禮賢街
,,,禮頓巷,禮頓高速,禮頓街
,,,禮頓山巷,禮頓山高速,禮頓山街
,,,科學園巷,科學園高速,科學園街
,,,科學館巷,科學館高速,科學館街
,,,科發巷,科發高速,科發街
,,,科研巷,科研高速,科研街
,,,租庇利巷,租庇利高速,租庇利街
,,,窩打老巷,窩打老高速,窩打老街
,,,童軍巷,童軍高速,童軍街
,,,竹桃巷,竹桃高速,竹桃街
,,,第一巷,第一高速,第一街
,,,第三巷,第三高速,第三街
,,,第二巷,第二高速,第二街
,,,策馬特大巷,策馬特大高速,策馬特大街
,,,筲箕巷,筲箕高速,筲箕街
,,,管制塔巷,管制塔高速,管制塔街
,,,米蘭巷,米蘭高速,米蘭街
,,,米路斯巷,米路斯高速,米路斯街
,,,粉嶺車站巷,粉嶺車站高速,粉嶺車站街
,,,糖廠巷,糖廠高速,糖廠街
,,,糖水巷,糖水高速,糖水街
,,,紅梅巷,紅梅高速,紅梅街
,,,紅棉巷,紅棉高速,紅棉街
,,,紅花巷,紅花高速,紅花街
,,,紅荷巷,紅荷高速,紅荷街
,,,紅鸞巷,紅鸞高速,紅鸞街
,,,納柏巷,納柏高速,納柏街
,,,納沙泰爾大巷,納沙泰爾大高速,納沙泰爾大街
,,,紫檀巷,紫檀高速,紫檀街
,,,紫荊北巷,紫荊北高速,紫荊北街
,,,紫荊南巷,紫荊南高速,紫荊南街
,,,紫荊東巷,紫荊東高速,紫荊東街
,,,紫荊西巷,紫荊西高速,紫荊西街
,,,紫葳巷,紫葳高速,紫葳街
,,,紫薇巷,紫薇高速,紫薇街
,,,紫藤巷,紫藤高速,紫藤街
,,,紫蘭巷,紫蘭高速,紫蘭街
,,,結志巷,結志高速,結志街
,,,統一碼頭巷,統一碼頭高速,統一碼頭街
,,,綠柳巷,綠柳高速,綠柳街
,,,維園巷,維園高速,維園街
,,,維狄雅巷,維狄雅高速,維狄雅街
,,,緬甸巷,緬甸高速,緬甸街
,,,繼園巷,繼園高速,繼園街
,,,纜車巷,纜車高速,纜車街
,,,羅便臣巷,羅便臣高速,羅便臣街
,,,羅富國巷,羅富國高速,羅富國街
,,,羅福巷,羅福高速,羅福街
,,,羅素巷,羅素高速,羅素街
,,,美利巷,美利高速,美利街
,,,美利炮巷,美利炮高速,美利炮街
,,,美善同巷,美善同高速,美善同街
,,,美度適巷,美度適高速,美度適街
,,,義德巷,義德高速,義德街
,,,義本巷,義本高速,義本街
,,,翔天巷,翔天高速,翔天街
,,,翔天中巷,翔天中高速,翔天中街
,,,翔天北巷,翔天北高速,翔天北街
,,,翔天南巷,翔天南高速,翔天南街
,,,翠松巷,翠松高速,翠松街
,,,翠柏巷,翠柏高速,翠柏街
,,,翠榕巷,翠榕高速,翠榕街
,,,聖佛蘭士巷,聖佛蘭士高速,聖佛蘭士街
,,,聖哥拉巷,聖哥拉高速,聖哥拉街
,,,聖地牙哥巷,聖地牙哥高速,聖地牙哥街
,,,聖巴拿巷,聖巴拿高速,聖巴拿街
,,,聖梵哥巷,聖梵哥高速,聖梵哥街
,,,聖若瑟巷,聖若瑟高速,聖若瑟街
,,,聯合巷,聯合高速,聯合街
,,,聯合院巷,聯合院高速,聯合院街
,,,聯福巷,聯福高速,聯福街
,,,肇堅巷,肇堅高速,肇堅街
,,,自由巷,自由高速,自由街
,,,舒梨巷,舒梨高速,舒梨街
,,,航天城巷,航天城高速,航天城街
,,,航天城東巷,航天城東高速,航天城東街
,,,航展巷,航展高速,航展街
,,,航膳中巷,航膳中高速,航膳中街
,,,航膳東巷,航膳東高速,航膳東街
,,,航膳西巷,航膳西高速,航膳西街
,,,般咸巷,般咸高速,般咸街
,,,船澳巷,船澳高速,船澳街
,,,芙蓉巷,芙蓉高速,芙蓉街
,,,芬梨巷,芬梨高速,芬梨街
,,,芭丹娜巷,芭丹娜高速,芭丹娜街
,,,花墟巷,花墟高速,花墟街
,,,英皇巷,英皇高速,英皇街
,,,英華巷,英華高速,英華街
,,,茂蘿巷,茂蘿高速,茂蘿街
,,,范信達巷,范信達高速,范信達街
,,,茶花巷,茶花高速,茶花街
,,,荃灣街市巷,荃灣街市高速,荃灣街市街
,,,荔枝北巷,荔枝北高速,荔枝北街
,,,荔枝南巷,荔枝南高速,荔枝南街
,,,荔枝東巷,荔枝東高速,荔枝東街
,,,荔枝西巷,荔枝西高速,荔枝西街
,,,荷塘巷,荷塘高速,荷塘街
,,,荷李活巷,荷李活高速,荷李活街
,,,荷蘭巷,荷蘭高速,荷蘭街
,,,莊士敦巷,莊士敦高速,莊士敦街
,,,莎文杜巷,莎文杜高速,莎文杜街
,,,莫里茲大巷,莫里茲大高速,莫里茲大街
,,,菩提巷,菩提高速,菩提街
,,,華倫巷,華倫高速,華倫街
,,,華梓巷,華梓高速,華梓街
,,,華蘭巷,華蘭高速,華蘭街
,,,菲林明巷,菲林明高速,菲林明街
,,,萊茵河大巷,萊茵河大高速,萊茵河大街
,,,萬茂巷,萬茂高速,萬茂街
,,,葵涌醫院巷,葵涌醫院高速,葵涌醫院街
,,,蒙尼卡巷,蒙尼卡高速,蒙尼卡街
,,,蒙特萊巷,蒙特萊高速,蒙特萊街
,,,蒲魯賢巷,蒲魯賢高速,蒲魯賢街
,,,蓮花巷,蓮花高速,蓮花街
,,,蓮花宮東巷,蓮花宮東高速,蓮花宮東街
,,,蓮花宮西巷,蓮花宮西高速,蓮花宮西街
,,,蕪湖巷,蕪湖高速,蕪湖街
,,,薄扶林水塘巷,薄扶林水塘高速,薄扶林水塘街
,,,藍鐘巷,藍鐘高速,藍鐘街
,,,蘇杭巷,蘇杭高速,蘇杭街
,,,蘇黎世大巷,蘇黎世大高速,蘇黎世大街
,,,蘭杜巷,蘭杜高速,蘭杜街
,,,蘭花巷,蘭花高速,蘭花街
,,,蘭芳巷,蘭芳高速,蘭芳街
,,,蘭開夏巷,蘭開夏高速,蘭開夏街
,,,蜆殼巷,蜆殼高速,蜆殼街
,,,蟠龍巷,蟠龍高速,蟠龍街
,,,蟬聯巷,蟬聯高速,蟬聯街
,,,街市巷,街市高速,街市街
,,,衙前圍巷,衙前圍高速,衙前圍街
,,,衙前塱巷,衙前塱高速,衙前塱街
,,,衛信巷,衛信高速,衛信街
,,,衛奕信巷,衛奕信高速,衛奕信街
,,,衛星巷,衛星高速,衛星街
,,,衛理巷,衛理高速,衛理街
,,,衡州巷,衡州高速,衡州街
,,,裴樂士巷,裴樂士高速,裴樂士街
,,,西安巷,西安高速,西安街
,,,西摩巷,西摩高速,西摩街
,,,西洋菜巷,西洋菜高速,西洋菜街
,,,西洋菜北巷,西洋菜北高速,西洋菜北街
,,,西洋菜南巷,西洋菜南高速,西洋菜南街
,,,西消防巷,西消防高速,西消防街
,,,西蒙巷,西蒙高速,西蒙街
,,,西谷巷,西谷高速,西谷街
,,,西貢巷,西貢高速,西貢街
,,,西貢公巷,西貢公高速,西貢公街
,,,西貢鄉事會巷,西貢鄉事會高速,西貢鄉事會街
,,,西貢醫局巷,西貢醫局高速,西貢醫局街
,,,覺士巷,覺士高速,覺士街
,,,觀音巷,觀音高速,觀音街
,,,記利佐治巷,記利佐治高速,記利佐治街
,,,詩歌舞巷,詩歌舞高速,詩歌舞街
,,,諾士佛巷,諾士佛高速,諾士佛街
,,,諾森伯倫巷,諾森伯倫高速,諾森伯倫街
,,,謝斐巷,謝斐高速,謝斐街
,,,譚公巷,譚公高速,譚公街
,,,譚公廟巷,譚公廟高速,譚公廟街
,,,譚臣巷,譚臣高速,譚臣街
,,,警校巷,警校高速,警校街
,,,警署巷,警署高速,警署街
,,,變壓器巷,變壓器高速,變壓器街
,,,谷柏巷,谷柏高速,谷柏街
,,,豉油巷,豉油高速,豉油街
,,,豔馬巷,豔馬高速,豔馬街
,,,貝璐巷,貝璐高速,貝璐街
,,,貨櫃碼頭巷,貨櫃碼頭高速,貨櫃碼頭街
,,,貨櫃碼頭南巷,貨櫃碼頭南高速,貨櫃碼頭南街
,,,貨運巷,貨運高速,貨運街
,,,貴州巷,貴州高速,貴州街
,,,資訊巷,資訊高速,資訊街
,,,賈炳達巷,賈炳達高速,賈炳達街
,,,贊善巷,贊善高速,贊善街
,,,赤柱市場巷,赤柱市場高速,赤柱市場街
,,,赫德巷,赫德高速,赫德街
,,,跑道南巷,跑道南高速,跑道南街
,,,車公廟巷,車公廟高速,車公廟街
,,,車站巷,車站高速,車站街
,,,軍器廠巷,軍器廠高速,軍器廠街
,,,軒尼詩巷,軒尼詩高速,軒尼詩街
,,,軒德蓀巷,軒德蓀高速,軒德蓀街
,,,農圃巷,農圃高速,農圃街
,,,通州巷,通州高速,通州街
,,,通州西巷,通州西高速,通州西街
,,,通菜巷,通菜高速,通菜街
,,,達之巷,達之高速,達之街
,,,遮打巷,遮打高速,遮打街
,,,郝德傑巷,郝德傑高速,郝德傑街
,,,都爹利巷,都爹利高速,都爹利街
,,,鄉事會巷,鄉事會高速,鄉事會街
,,,醫局巷,醫局高速,醫局街
,,,醫局西巷,醫局西高速,醫局西街
,,,醫院巷,醫院高速,醫院街
,,,重士巷,重士高速,重士街
,,,重慶巷,重慶高速,重慶街
,,,金夫人馳馬巷,金夫人馳馬高速,金夫人馳馬街
,,,金巴倫巷,金巴倫高速,金巴倫街
,,,金巴利巷,金巴利高速,金巴利街
,,,金文泰巷,金文泰高速,金文泰街
,,,金桃巷,金桃高速,金桃街
,,,金督馳馬巷,金督馳馬高速,金督馳馬街
,,,金竹東巷,金竹東高速,金竹東街
,,,金竹西巷,金竹西高速,金竹西街
,,,金粟巷,金粟高速,金粟街
,,,金鐘巷,金鐘高速,金鐘街
,,,金馬倫巷,金馬倫高速,金馬倫街
,,,金馬麟山巷,金馬麟山高速,金馬麟山街
,,,金龍巷,金龍高速,金龍街
,,,銀幕巷,銀幕高速,銀幕街
,,,銀影巷,銀影高速,銀影街
,,,銀杏巷,銀杏高速,銀杏街
,,,銀菊巷,銀菊高速,銀菊街
,,,銀行巷,銀行高速,銀行街
,,,銅鑼巷,銅鑼高速,銅鑼街
,,,鐵樹巷,鐵樹高速,鐵樹街
,,,鐵行巷,鐵行高速,鐵行街
,,,長樂巷,長樂高速,長樂街
,,,長沙巷,長沙高速,長沙街
,,,長洲教堂巷,長洲教堂高速,長洲教堂街
,,,長洲醫院巷,長洲醫院高速,長洲醫院街
,,,長洲體育巷,長洲體育高速,長洲體育街
,,,開平巷,開平高速,開平街
,,,閣麟巷,閣麟高速,閣麟街
,,,陶域巷,陶域高速,陶域街
,,,雅息士巷,雅息士高速,雅息士街
,,,雅蘭巷,雅蘭高速,雅蘭街
,,,雅賓利巷,雅賓利高速,雅賓利街
,,,雙喜巷,雙喜高速,雙喜街
,,,雪廠巷,雪廠高速,雪廠街
,,,雲咸巷,雲咸高速,雲咸街
,,,雲地利巷,雲地利高速,雲地利街
,,,電廠巷,電廠高速,電廠街
,,,電星巷,電星高速,電星街
,,,電氣巷,電氣高速,電氣街
,,,霎東巷,霎東高速,霎東街
,,,霎西巷,霎西高速,霎西街
,,,露明巷,露明高速,露明街
,,,靈實巷,靈實高速,靈實街
,,,青山寺巷,青山寺高速,青山寺街
,,,青松巷,青松高速,青松街
,,,青松觀巷,青松觀高速,青松觀街
,,,青楊巷,青楊高速,青楊街
,,,青榕巷,青榕高速,青榕街
,,,青衣鄉事會巷,青衣鄉事會高速,青衣鄉事會街
,,,順風巷,順風高速,順風街
,,,香港仔水塘巷,香港仔水塘高速,香港仔水塘街
,,,香港天文巷,香港天文高速,香港天文街
,,,香港道巷,香港道高速,香港道街
,,,香港電巷,香港電高速,香港電街
,,,香雪巷,香雪高速,香雪街
,,,馬來巷,馬來高速,馬來街
,,,馬可尼巷,馬可尼高速,馬可尼街
,,,馬寶巷,馬寶高速,馬寶街
,,,馬己仙峽巷,馬己仙峽高速,馬己仙峽街
,,,馬師巷,馬師高速,馬師街
,,,馬灣鄉事會巷,馬灣鄉事會高速,馬灣鄉事會街
,,,馬頭角十三巷,馬頭角十三高速,馬頭角十三街
,,,駱克巷,駱克高速,駱克街
,,,駿日巷,駿日高速,駿日街
,,,駿發巷,駿發高速,駿發街
,,,體育巷,體育高速,體育街
,,,高士美巷,高士美高速,高士美街
,,,高槐巷,高槐高速,高槐街
,,,高陞巷,高陞高速,高陞街
,,,魚市場巷,魚市場高速,魚市場街
,,,鳳儀巷,鳳儀高速,鳳儀街
,,,鳳凰巷,鳳凰高速,鳳凰街
,,,鳳攸北巷,鳳攸北高速,鳳攸北街
,,,鳳攸南巷,鳳攸南高速,鳳攸南街
,,,鳳攸東巷,鳳攸東高速,鳳攸東街
,,,鳳琴巷,鳳琴高速,鳳琴街
,,,鳳群巷,鳳群高速,鳳群街
,,,鳳舞巷,鳳舞高速,鳳舞街
,,,鳳輝巷,鳳輝高速,鳳輝街
,,,鳳香巷,鳳香高速,鳳香街
,,,鳳麒巷,鳳麒高速,鳳麒街
,,,鴉蘭巷,鴉蘭高速,鴉蘭街
,,,鴨寮巷,鴨寮高速,鴨寮街
,,,鴨巴甸巷,鴨巴甸高速,鴨巴甸街
,,,鴻運巷,鴻運高速,鴻運街
,,,鵬程巷,鵬程高速,鵬程街
,,,鶴咀巷,鶴咀高速,鶴咀街
,,,鶴齡巷,鶴齡高速,鶴齡街
,,,鷹揚巷,鷹揚高速,鷹揚街
,,,鹹魚巷,鹹魚高速,鹹魚街
,,,鹿鳴巷,鹿鳴高速,鹿鳴街
,,,麒麟巷,麒麟高速,麒麟街
,,,麗梨花巷,麗梨花高速,麗梨花街
,,,麗海堤岸巷,麗海堤岸高速,麗海堤岸街
,,,麟祥巷,麟祥高速,麟祥街
,,,麥加力歌巷,麥加力歌高速,麥加力歌街
,,,麥理浩巷,麥理浩高速,麥理浩街
,,,麥當勞巷,麥當勞高速,麥當勞街
,,,麥蘭巷,麥蘭高速,麥蘭街
,,,麵房巷,麵房高速,麵房街
,,,麼地巷,麼地高速,麼地街
,,,黃埔巷,黃埔高速,黃埔街
,,,黃大仙巷,黃大仙高速,黃大仙街
,,,黃竹巷,黃竹高速,黃竹街
,,,黃菊巷,黃菊高速,黃菊街
,,,黑布巷,黑布高速,黑布街
,,,龍圖巷,龍圖高速,龍圖街
,,,龍琛巷,龍琛高速,龍琛街
,,,龍翔巷,龍翔高速,龍翔街
