品牌ID,行业信息,官译_品牌名,你的翻译_品牌名
RawrunBikes,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Rawrun Bikes,狂奔骑行
RoadGarbage,"公司: Commercial_VehicleStore | 行业: Input1:Vehicles, Output:Vehicles, Type:Service",RoadGarbage,破烂王二手车
RustBucket,"公司: Industrial_WarehouseMetals; Industrial_MetalSmelter | 行业: Output:Metals; Input1:Ore, Output:Metals",Rust Bucket,精诚冶金
SaveMoney,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Save Money,惠省空间
SawEd,"公司: Industrial_WarehouseTimber; Industrial_SawMill | 行业: Output:Timber; Input1:Wood, Output:Timber",SawEd,索德木业
ScandicBaron,"公司: Industrial_WarehouseElectronics; Industrial_WarehousePlastics; Industrial_ElectronicsFactory; Industrial_PlasticsFactory; Commercial_ElectronicsStore; Commercial_PlasticsStore | 行业: Output:Electronics; Output:Plastics; Input1:Minerals, Input2:Plastics, Output:Electronics; Input1:Petrochemicals, Input2:Chemicals, Output:Plastics; Input1:Electronics, Output:Electronics, Type:Service; Input1:Plastics, Output:Plastics, Type:Service",Scandic Baron,斯堪男爵
Shinies,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Shinies,璀璨坊
ShopLate,"公司: Industrial_WarehouseConvenienceFood; Industrial_WarehouseFood; Commercial_FoodStore; Commercial_ConvenienceFoodStore | 行业: Output:ConvenienceFood; Output:Food; Input1:Food, Output:Food, Type:Service; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",ShopLate,夜猫超市
ShortMarket,"公司: Industrial_WarehouseConvenienceFood; Industrial_WarehouseFood; Commercial_FoodStore; Commercial_ConvenienceFoodStore | 行业: Output:ConvenienceFood; Output:Food; Input1:Food, Output:Food, Type:Service; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",ShortMarket,速购市场
SilentSaulsRealEstate,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Silent Saul's Real Estate,幽静房产
SingTapeRecords,"公司: Office_MediaCompany | 行业: Input1:Software, Output:Media",SingTape Records,吟咏唱片
SirCutAlot,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Sir Cut Alot,剪裁大师
SixtySum,"公司: Industrial_WarehouseConvenienceFood; Industrial_WarehouseFood; Industrial_WarehouseFish; Industrial_ConvenienceFoodFromFish; Commercial_FoodStore; Commercial_ConvenienceFoodStore | 行业: Output:ConvenienceFood; Output:Food; Output:Fish; Input1:Fish, Output:ConvenienceFood; Input1:Food, Output:Food, Type:Service; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",SixtySum,六十汇食
SleePeas,"公司: Commercial_Hotel | 行业: Input1:Food, Output:Lodging, Type:Service",Slee Peas,酣眠驿站
Smeltingmore,"公司: Industrial_WarehouseMetals; Industrial_MetalSmelter | 行业: Output:Metals; Input1:Ore, Output:Metals",Smeltingmore,精诚冶炼
SmeltNBlast,"公司: Industrial_WarehouseMetals; Industrial_MetalSmelter | 行业: Output:Metals; Input1:Ore, Output:Metals",Smelt 'n Blast,爆熔金属
SnafuInsurance,"公司: Office_Bank | 行业: Input1:Software, Output:Financial",Snafu Insurance,避险金融
SneakyRidge,"公司: Industrial_TextileFromLivestockFactory; Commercial_FashionStore | 行业: Input1:Livestock, Output:Textiles; Input1:Textiles, Output:Textiles, Type:Service",Sneaky Ridge,隐峰服饰
SoftEnds,"公司: Industrial_WarehousePaper; Industrial_WarehouseWood; Industrial_ForestryExtractor; Industrial_PaperMill | 行业: Output:Paper; Output:Wood; Input1:Timber, Output:Paper",Soft Ends,柔洁纸业
SomethingAndAll,"公司: Industrial_WarehouseConvenienceFood; Industrial_WarehouseFood; Commercial_FoodStore; Commercial_ConvenienceFoodStore | 行业: Output:ConvenienceFood; Output:Food; Input1:Food, Output:Food, Type:Service; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",Something & All,全品食府
Spasm,"公司: Industrial_WarehouseElectronics; Industrial_ElectronicsFactory; Commercial_ElectronicsStore | 行业: Output:Electronics; Input1:Minerals, Input2:Plastics, Output:Electronics; Input1:Electronics, Output:Electronics, Type:Service",Spasm,脉动电子
SpdS,"公司: Commercial_FoodStore | 行业: Input1:Food, Output:Food, Type:Service",SpdS,速购生鲜
Speltware,"公司: Office_SoftwareCompany | 行业: Input1:Electronics, Output:Software",Speltware,斯派特软件
SpendelzRides,"公司: Industrial_WarehouseVehicles; Commercial_VehicleStore | 行业: Output:Vehicles; Input1:Vehicles, Output:Vehicles, Type:Service",Spendelz Rides,驰骋租车
SpinningSpool,"公司: Industrial_WarehouseCotton; Industrial_CottonExtractor; Industrial_TextileFromCottonFactory | 行业: Output:Cotton; Input1:Cotton, Output:Textiles",Spinning Spool,锦绣纱线
SpinOffBakeries,"prefix; Commercial_ConvenienceFoodStore | 行业: Input1:Grain, Output:ConvenienceFood; Input1:ConvenienceFood, Output:ConvenienceFood, Type:Service",Spin-Off Bakeries,溢香饼铺
SquarePackages,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Square Packages,正方优选
StadelmannAndBardolf,"公司: Office_Bank | 行业: Input1:Software, Output:Financial",Stadelmann & Bardolf,斯巴金融
StArmandsGoblet,"公司: Industrial_WarehouseBeverages; Commercial_Bar; Commercial_LiquorStore | 行业: Output:Beverages; Input1:Beverages, Output:Entertainment, Type:Service; Input1:Beverages, Output:Beverages, Type:Service",St. Armand's Goblet,圣曼酒爵
StChirpsMortuary,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",St. Chirps Mortuary,宁静安魂
SteelSaurus,"公司: Industrial_WarehouseSteel; Industrial_SteelPlant | 行业: Output:Steel; Input1:Metals, Input2:Coal, Output:Steel",SteelSaurus,钢铁霸龙
StefansStump,"公司: Industrial_SawMill | 行业: Input1:Wood, Output:Timber",Stefan's Stump,桩基木业
StrongarmMixing,"公司: Industrial_WarehouseConcrete; Industrial_ConcreteFactory | 行业: Output:Concrete; Input1:Stone, Output:Concrete",Strongarm Mixing,铁臂混凝土
SugarSpike,"公司: Industrial_WarehouseBeverages; Industrial_BeverageFromVegetablesFactory | 行业: Output:Beverages; Input1:Vegetables, Output:Beverages",Sugar Spike,糖峰饮料
SunAsana,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Sun Asana,旭日康养
Szoftver,"公司: Office_SoftwareCompany | 行业: Input1:Electronics, Output:Software",Szoftver,索夫特科技
TattooStudio,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Tattoo Studio,绘皮工坊
TeakStoolCo,"公司: Industrial_WarehouseFurniture; Industrial_FurnitureFactory; Commercial_FurnitureStore | 行业: Output:Furniture; Input1:Timber, Output:Furniture; Input1:Furniture, Output:Furniture, Type:Service",Teak Stool Co.,天科家具
TechOMat,"公司: Office_SoftwareCompany | 行业: Input1:Electronics, Output:Software",Tech-o-Mat,泰科软件
TekkVinyl,"公司: Industrial_WarehousePlastics; Industrial_PlasticsFactory | 行业: Output:Plastics; Input1:Petrochemicals, Input2:Chemicals, Output:Plastics",TekkVinyl,泰克塑胶
Texstailors,"公司: Industrial_TextileFromCottonFactory; Industrial_TextileFromPetrochemicalsFactory; Commercial_FashionStore | 行业: Input1:Cotton, Output:Textiles; Input1:Petrochemicals, Output:Textiles; Input1:Textiles, Output:Textiles, Type:Service",Texs Tailors,泰克斯成衣
THELawAndAccounting,"公司: Office_Bank | 行业: Input1:Software, Output:Financial",THE Law & Accounting,宏大会计
ThickDigital,"公司: Office_SoftwareCompany; Commercial_ElectronicsStore | 行业: Input1:Electronics, Output:Software; Input1:Electronics, Output:Electronics, Type:Service",Thick Digital,厚实科技
Thoseshows,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Those shows,众汇演出
TinyToys,"公司: Industrial_WarehouseElectronics; Industrial_WarehousePlastics; Commercial_RecreactionStore; Industrial_ElectronicsFactory; Industrial_PlasticsFactory; Commercial_PlasticsStore | 行业: Output:Electronics; Output:Plastics; Output:Recreation, Type:Service; Input1:Minerals, Input2:Plastics, Output:Electronics; Input1:Petrochemicals, Input2:Chemicals, Output:Plastics; Input1:Plastics, Output:Plastics, Type:Service",Tiny Toys,微趣童玩
TreasureTroveComics,"公司: Commercial_BookStore | 行业: Input1:Paper, Output:Paper, Type:Service",Treasure Trove Comics,琳琅漫屋
Trikoosana,"公司: Commercial_RecreactionStore | 行业: Output:Recreation, Type:Service",Trikoosana,翠姿乐园
TurttleShell,"公司: Industrial_WarehouseTextiles; Industrial_TextileFromPetrochemicalsFactory; Commercial_FashionStore | 行业: Output:Textiles; Input1:Petrochemicals, Output:Textiles; Input1:Textiles, Output:Textiles, Type:Service",Turttle Shell,龟甲服饰
VelvetDuds,"公司: Industrial_TextileFromCottonFactory | 行业: Input1:Cotton, Output:Textiles",Velvet Duds,华绒成衣
Waffords,"公司: Industrial_TextileFromPetrochemicalsFactory | 行业: Input1:Petrochemicals, Output:Textiles",Waffords,华福丝织
Wingbacks,"公司: Industrial_WarehouseElectronics; Commercial_ElectronicsStore | 行业: Output:Electronics; Input1:Electronics, Output:Electronics, Type:Service",Wingbacks,盈众数码
Wolmsburys,"公司: Industrial_WarehouseGrain; Industrial_WarehouseBeverages; Industrial_WarehouseFood; Industrial_GrainExtractor; Industrial_BeverageFromGrainFactory; Industrial_ConvenienceFoodFromGrainFactory | 行业: Output:Grain; Output:Beverages; Output:Food; Input1:Grain, Output:Beverages; Input1:Grain, Output:ConvenienceFood",Wolmsbury's,沃姆五谷
WovenWool,"公司: Industrial_WarehouseTextiles; Commercial_RecreactionStore; Industrial_TextileFromLivestockFactory; Commercial_FashionStore | 行业: Output:Textiles; Output:Recreation, Type:Service; Input1:Livestock, Output:Textiles; Input1:Textiles, Output:Textiles, Type:Service",Woven Wool,绒织工坊
Wrebomm,"公司: Industrial_PlasticsFactory; Commercial_PlasticsStore | 行业: Input1:Petrochemicals, Input2:Chemicals, Output:Plastics; Input1:Plastics, Output:Plastics, Type:Service",Wrebomm,瑞博塑胶
Wroommel,"公司: Industrial_VehicleFactory; Commercial_VehicleStore | 行业: Input1:Metals, Input2:Plastics, Output:Vehicles; Input1:Vehicles, Output:Vehicles, Type:Service",Wroommel,悦骋汽车
Yaxu,"公司: Industrial_WarehouseBeverages; Commercial_Bar; Industrial_BeverageFromGrainFactory; Industrial_BeverageFromVegetablesFactory; Commercial_LiquorStore | 行业: Output:Beverages; Input1:Beverages, Output:Entertainment, Type:Service; Input1:Grain, Output:Beverages; Input1:Vegetables, Output:Beverages; Input1:Beverages, Output:Beverages, Type:Service",Yaxu,雅旭名酒
